entry_time,exit_time,symbol,direction,strategy,regime,vol_score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason,commission
2024-09-22 12:00:00+00:00,2024-09-22 20:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,57.2,62764.8938,62717.633,0.073302,62830.727,0.0,-3.4644,-0.075,breakeven,16.5331
2024-09-29 20:00:00+00:00,2024-09-30 00:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,56.6,65720.0936,64495.53,0.089087,64611.832,0.0,-109.0926,-1.863,stop_loss,21.0394
2024-10-20 12:00:00+00:00,2024-10-21 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,61.5,68749.5168,67442.055,0.08201,67563.67,0.0,-107.2249,-1.902,stop_loss,20.2609
2024-10-23 12:00:00+00:00,2024-10-24 04:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,61.1,66342.6422,67246.8,0.037764,66416.96,67368.06,34.1446,1.363,trail_stop_partial,15.0052
2024-10-24 12:00:00+00:00,2024-10-25 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,58.7,67823.0822,66217.93,0.063463,66337.336,0.0,-101.868,-2.367,stop_loss,15.4675
2024-11-01 04:00:00+00:00,2024-11-01 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.5,69398.3927,69361.49,0.052191,69486.57,0.0,-1.9258,-0.053,breakeven,13.0157
2024-11-26 08:00:00+00:00,2024-11-27 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,59.7,92523.0923,96217.25,0.016844999,92683.71,96390.75,62.2281,3.993,trail_stop_partial,9.3345
2024-12-18 20:00:00+00:00,2024-12-19 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,62.9,100384.3772,96811.63,0.026907,96986.21,0.0,-96.1318,-3.559,stop_loss,9.7063
2025-01-05 12:00:00+00:00,2025-01-06 08:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,57.1,98205.4322,99312.555,0.031891,98294.8,99491.64,35.3073,1.127,trail_stop_partial,18.7576
2025-01-07 00:00:00+00:00,2025-01-07 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.5,101891.1545,99546.3,0.043465,99725.805,0.0,-101.9193,-2.301,stop_loss,15.9147
2025-01-13 08:00:00+00:00,2025-01-13 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,58.1,90687.6878,93473.96,0.034683,93306.016,0.0,-96.6363,-3.072,stop_loss,11.3436
2025-02-25 00:00:00+00:00,2025-02-25 04:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,61.0,91988.0529,92034.12,0.022750001,91868.76,0.0,-1.0479,-0.05,breakeven_partial,12.5788
2025-03-10 00:00:00+00:00,2025-03-10 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.4,81899.8045,78831.81,0.014107,81712.625,78690.17,43.2802,3.746,trail_stop_partial,6.9445
2025-03-11 00:00:00+00:00,2025-03-12 00:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,57.7,79379.1499,83787.9,0.020722,83637.36,0.0,-91.3581,-5.554,stop_loss,5.9323
2025-03-29 16:00:00+00:00,2025-04-01 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,55.6,82609.4349,84742.24,0.046059,84589.984,0.0,-98.2349,-2.582,stop_loss,13.7224
2025-04-07 08:00:00+00:00,2025-04-07 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,59.7,76547.5859,79907.66,0.027084,79764.086,0.0,-91.0041,-4.39,stop_loss,7.477
